,Topic,Lower Bound,Upper Bound,Probability Success
0,0,0,85,0.208333333333
1,0,85,170,0.311435523114
2,0,170,255,0.31875
3,0,255,340,0.431818181818
4,0,340,425,0.263157894737
5,0,425,510,0.333333333333
6,0,510,595,0.25
7,0,595,680,0.0
8,0,680,765,0.0
9,0,765,850,0.5
10,18,11,66,0.218508997429
11,18,66,121,0.26273458445
12,18,121,176,0.324742268041
13,18,176,231,0.330275229358
14,18,231,286,0.346153846154
15,18,286,341,0.48
16,18,341,396,0.363636363636
17,18,396,451,0.2
18,18,451,506,0.285714285714
19,18,506,561,0.333333333333
20,11,1,38,0.191304347826
21,11,38,75,0.232876712329
22,11,75,112,0.259541984733
23,11,112,149,0.337662337662
24,11,149,186,0.321100917431
25,11,186,223,0.320512820513
26,11,223,260,0.363636363636
27,11,260,297,0.428571428571
28,11,297,334,0.5
29,11,334,371,0.2
30,1,5,24,0.171171171171
31,1,24,43,0.195488721805
32,1,43,62,0.242038216561
33,1,62,81,0.244604316547
34,1,81,100,0.237410071942
35,1,100,119,0.327272727273
36,1,119,138,0.358974358974
37,1,138,157,0.383561643836
38,1,157,176,0.192307692308
39,1,176,195,0.395833333333
40,5,7,25,0.2
41,5,25,43,0.190839694656
42,5,43,61,0.241830065359
43,5,61,79,0.230769230769
44,5,79,97,0.25
45,5,97,115,0.342105263158
46,5,115,133,0.277777777778
47,5,133,151,0.351351351351
48,5,151,169,0.339622641509
49,5,169,187,0.276595744681
50,6,4,27,0.172661870504
51,6,27,50,0.202312138728
52,6,50,73,0.237288135593
53,6,73,96,0.254545454545
54,6,96,119,0.30985915493
55,6,119,142,0.326315789474
56,6,142,165,0.394736842105
57,6,165,188,0.241935483871
58,6,188,211,0.296296296296
59,6,211,234,0.366666666667
60,19,11,48,0.193548387097
61,19,48,85,0.236559139785
62,19,85,122,0.302904564315
63,19,122,159,0.356643356643
64,19,159,196,0.290322580645
65,19,196,233,0.276923076923
66,19,233,270,0.340909090909
67,19,270,307,0.461538461538
68,19,307,344,0.5
69,19,344,381,0.333333333333
70,4,3,23,0.168067226891
71,4,23,43,0.194244604317
72,4,43,63,0.234939759036
73,4,63,83,0.243055555556
74,4,83,103,0.239130434783
75,4,103,123,0.371681415929
76,4,123,143,0.280487804878
77,4,143,163,0.414285714286
78,4,163,183,0.220338983051
79,4,183,203,0.348837209302
80,17,5,21,0.148936170213
81,17,21,37,0.203883495146
82,17,37,53,0.226277372263
83,17,53,69,0.263157894737
84,17,69,85,0.208695652174
85,17,85,101,0.252100840336
86,17,101,117,0.375
87,17,117,133,0.268656716418
88,17,133,149,0.328125
89,17,149,165,0.43137254902
90,8,7,24,0.193548387097
91,8,24,41,0.2
92,8,41,58,0.243243243243
93,8,58,75,0.228070175439
94,8,75,92,0.252032520325
95,8,92,109,0.256
96,8,109,126,0.383561643836
97,8,126,143,0.287671232877
98,8,143,160,0.45
99,8,160,177,0.166666666667
